pubmedid	counts.ccgh	counts.acgh	counts.wes	counts.wgs	counts.ngs	counts.genomes	contact.name	contact.email	contact.affiliation	_provenance_id	status	_sample_types	note	progenetix_use	progenetix_curator
33692831	0	0	0	0	0	0				tiruchirappalli::india	excluded [bioinformatics] 			yes	Michael Baudis
33406109	0	0	0	0	0	0				zurich::switzerland	excluded [text mining] 			yes	Michael Baudis
33637676	0	0	0	0	0	0				seoul::koreanrepublic	excluded [bioinformatics] 			yes	Michael Baudis
33262783	0	0	0	0	0	0				beijing::china	excluded [bioinformatics] 			yes	Michael Baudis
32512721	0	0	0	0	0	0				regensburg::germany	excluded [bioinformatics] 			yes	Michael Baudis
34272855	0	0	0	0	0	0	Michael Baudis	contact@progenetix.org	University of Zurich and Swiss Institute of Bioinformatics	zurich::switzerland	excluded [Progenetix use search result] 			yes	Michael Baudis
34054918	0	0	0	0	0	0	Michael Baudis	contact@progenetix.org	University of Zurich and Swiss Institute of Bioinformatics	zurich::switzerland	excluded [Progenetix use search result] 			yes	Michael Baudis
32239182	0	0	0	0	0	0	Michael Baudis	contact@progenetix.org	University of Zurich and Swiss Institute of Bioinformatics	zurich::switzerland	excluded [Progenetix use search result] 			yes	Michael Baudis
32111235	0	0	0	0	0	0					excluded [Progenetix use search result] 			yes	Michael Baudis
31897174	0	0	0	0	0	0					excluded [Progenetix use search result] 			yes	Michael Baudis
31250881	0	0	0	0	0	0					excluded [Progenetix use search result] 			yes	Michael Baudis
30886647	0	0	0	0	0	0					excluded [Progenetix use search result] 			yes	Michael Baudis
30858407	0	0	0	0	0	0					excluded [Progenetix use search result] 			yes	Michael Baudis
30796006	0	0	0	0	0	0					excluded [Progenetix use search result] 			yes	Michael Baudis
30659659	0	0	0	0	0	0				timisoara::romania	excluded [Progenetix use search result] 			yes	Michael Baudis
30290038	0	0	0	0	0	0					excluded [Progenetix use search result] 			yes	Michael Baudis
29657279	0	0	0	0	0	0					excluded [Progenetix use search result] 			yes	Michael Baudis
29492108	0	0	0	0	0	0					excluded [Progenetix use search result] 			yes	Michael Baudis
28835717	0	0	0	0	0	0					excluded [Progenetix use search result] 			yes	Michael Baudis
28728164	0	0	0	0	0	0					excluded [Progenetix use search result] 			yes	Michael Baudis
28522871	0	0	0	0	0	0					excluded [Progenetix use search result] 			yes	Michael Baudis
