TNM-C48698	Cancer TNM Finding Category	0	1	exclude
TNM-C133398	Postneoadjuvant Therapy Pathologic TNM Finding	1	2	
TNM-C143081	Posttherapy Clinical TNM Finding	1	3	
TNM-C48739	Pathologic TNM Finding	1	4	
TNM-C48886	Pathologic Distant Metastasis TNM Finding	2	5	
TNM-C48740	pM0 Stage Finding	3	6	
TNM-C48741	pM1 Stage Finding	3	7	
TNM-C48742	pM1a Stage Finding	4	8	
TNM-C48743	pM1b Stage Finding	4	9	
TNM-C48744	pM1c Stage Finding	4	10	
TNM-C48887	Pathologic Regional Lymph Nodes TNM Finding	2	11	
TNM-C48745	pN0 Stage Finding	3	12	
TNM-C48746	pN1 Stage Finding	3	13	
TNM-C48747	pN1a Stage Finding	4	14	
TNM-C48748	pN1b Stage Finding	4	15	
TNM-C48749	pN1c Stage Finding	4	16	
TNM-C48750	pN2 Stage Finding	3	17	
TNM-C48751	pN2a Stage Finding	4	18	
TNM-C48752	pN2b Stage Finding	4	19	
TNM-C48753	pN2c Stage Finding	4	20	
TNM-C48754	pN3 Stage Finding	3	21	
TNM-C48755	pN3a Stage Finding	4	22	
TNM-C48756	pN3b Stage Finding	4	23	
TNM-C48757	pN3c Stage Finding	4	24	
TNM-C48888	Pathologic Primary Tumor TNM Finding	2	25	
TNM-C48758	pT0 Stage Finding	3	26	
TNM-C48759	pT1 Stage Finding	3	27	
TNM-C48760	pT1a Stage Finding	4	28	
TNM-C48761	pT1b Stage Finding	4	29	
TNM-C48763	pT1c Stage Finding	4	30	
TNM-C48764	pT2 Stage Finding	3	31	
TNM-C48765	pT2a Stage Finding	4	32	
TNM-C48766	pT2b Stage Finding	4	33	
TNM-C48767	pT2c Stage Finding	4	34	
TNM-C48768	pT3 Stage Finding	3	35	
TNM-C48769	pT3a Stage Finding	4	36	
TNM-C48770	pT3b Stage Finding	4	37	
TNM-C48771	pT3c Stage Finding	4	38	
TNM-C48772	pT4 Stage Finding	3	39	
TNM-C48773	pT4a Stage Finding	4	40	
TNM-C48774	pT4b Stage Finding	4	41	
TNM-C48775	pT4c Stage Finding	4	42	
TNM-C48776	pT4d Stage Finding	4	43	
TNM-C48879	Generic TNM Finding	1	44	
TNM-C48777	Cancer TNM Vessel Invasion Finding Category	2	45	
TNM-C147091	Lymphovascular Invasion 0	3	46	
TNM-C147092	Lymphovascular Invasion 1	3	47	
TNM-C147093	Lymphovascular Invasion 9	3	48	
TNM-C147094	Lymphovascular Invasion 2	3	49	
TNM-C147095	Lymphovascular Invasion 3	3	50	
TNM-C147096	Lymphovascular Invasion 4	3	51	
TNM-C48883	Generic Distant Metastasis TNM Finding	2	52	
TNM-C48699	M0 Stage Finding	3	53	
TNM-C95956	cM0 (i+) Stage Finding	4	54	
TNM-C48700	M1 Stage Finding	3	55	
TNM-C48701	M1a Stage Finding	4	56	
TNM-C48702	M1b Stage Finding	4	57	
TNM-C48703	M1c Stage Finding	4	58	
TNM-C48704	MX Stage Finding	3	59	
TNM-C48884	Generic Regional Lymph Nodes TNM Finding	2	60	
TNM-C48705	N0 Stage Finding	3	61	
TNM-C95921	N0 (i-) Stage Finding	4	62	
TNM-C95922	N0 (i+) Stage Finding	4	63	
TNM-C95923	N0 (mol-) Stage Finding	4	64	
TNM-C95925	N0 (mol+) Stage Finding	4	65	
TNM-C48706	N1 Stage Finding	3	66	
TNM-C48707	N1a Stage Finding	4	67	
TNM-C48708	N1b Stage Finding	4	68	
TNM-C95929	N1bI Stage Finding	5	69	
TNM-C95935	N1bII Stage Finding	5	70	
TNM-C95936	N1bIII Stage Finding	5	71	
TNM-C95937	N1bIV Stage Finding	5	72	
TNM-C48709	N1c Stage Finding	4	73	
TNM-C95955	N1mi Stage Finding	4	74	
TNM-C48714	N3 Stage Finding	3	75	
TNM-C48715	N3a Stage Finding	4	76	
TNM-C48716	N3b Stage Finding	4	77	
TNM-C48717	N3c Stage Finding	4	78	
TNM-C48718	NX Stage Finding	3	79	
TNM-C48786	N2 Stage Finding	3	80	
TNM-C48711	N2a Stage Finding	4	81	
TNM-C48712	N2b Stage Finding	4	82	
TNM-C48713	N2c Stage Finding	4	83	
TNM-C96026	N4 Stage Finding	3	84	
TNM-C48885	Generic Primary Tumor TNM Finding	2	85	
TNM-C106299	Any T	3	86	
TNM-C132010	T5 Stage Finding	3	87	
TNM-C48719	T0 Stage Finding	3	88	
TNM-C48720	T1 Stage Finding	3	89	
TNM-C48721	T1a Stage Finding	4	90	
TNM-C48722	T1b Stage Finding	4	91	
TNM-C48723	T1c Stage Finding	4	92	
TNM-C95805	T1mi Stage Finding	4	93	
TNM-C48724	T2 Stage Finding	3	94	
TNM-C148411	T2d Stage Finding	4	95	
TNM-C48725	T2a Stage Finding	4	96	
TNM-C48726	T2b Stage Finding	4	97	
TNM-C48727	T2c Stage Finding	4	98	
TNM-C48728	T3 Stage Finding	3	99	
TNM-C148412	T3d Stage Finding	4	100	
TNM-C48729	T3a Stage Finding	4	101	
TNM-C48730	T3b Stage Finding	4	102	
TNM-C48731	T3c Stage Finding	4	103	
TNM-C48732	T4 Stage Finding	3	104	
TNM-C48733	T4a Stage Finding	4	105	
TNM-C48734	T4b Stage Finding	4	106	
TNM-C48735	T4c Stage Finding	4	107	
TNM-C48736	T4d Stage Finding	4	108	
TNM-C48737	TX Stage Finding	3	109	
TNM-C48738	Tis Stage Finding	3	110	
TNM-C96025	Ta Stage Finding	4	111	
TNM-C48880	Recurrent Cancer TNM Finding	1	112	
TNM-C48881	Clinical TNM Finding	1	113	
TNM-C161009	Clinical Primary Tumor TNM Finding	2	114	
TNM-C162609	Clinical Regional Lymph Nodes TNM Finding	2	115	
TNM-C162610	Clinical Distant Metastasis TNM Finding	2	116	
TNM-C48882	Autopsy TNM Finding	1	117	
