UBERON:0001062	anatomical entity	14
UBERON:0001016	nervous system	13
UBERON:0002390	hematopoietic system	440
UBERON:0001728	nasopharynx	24
UBERON:0001737	larynx	79
UBERON:0000977	pleura	161
UBERON:0002367	prostate gland	284
UBERON:0002370	thymus	1
UBERON:0001729	oropharynx	22
UBERON:0002046	thyroid gland	118
UBERON:0002048	lung	2612
UBERON:0002107	liver	331
UBERON:0003703	extrahepatic bile duct	12
UBERON:0003704	intrahepatic bile duct	72
UBERON:0004913	hepatopancreatic ampulla	5
UBERON:0005033	mucosa of gallbladder	11
UBERON:0007329	pancreatic duct	177
UBERON:0002358	peritoneum	3
UBERON:0000989	penis	5
UBERON:0000996	vagina	2
UBERON:0001235	adrenal cortex	2
UBERON:0001255	urinary bladder	72
UBERON:0002371	bone marrow	7446
UBERON:0003889	fallopian tube	1
UBERON:0002106	spleen	5
UBERON:0002369	adrenal gland	31
UBERON:0000014	zone of skin	2219
UBERON:8300000	skin of scalp	1
UBERON:0000955	brain	800
UBERON:0000966	retina	12
UBERON:0001245	anus	6
UBERON:0001775	ciliary body	36
UBERON:0001817	lacrimal gland	4
UBERON:0002037	cerebellum	29
UBERON:0002298	brainstem	37
UBERON:0002590	prepyriform area	2
UBERON:0004103	alveolar ridge	5
UBERON:0011387	constrictor vulvae muscle	19
UBERON:0036214	rectosigmoid junction	1
UBERON:0018707	bladder organ	146
UBERON:0001723	tongue	39
UBERON:0001831	parotid gland	1
UBERON:0002368	endocrine gland	1
UBERON:0002113	kidney	282
UBERON:0000473	testis	12
UBERON:0000992	ovary	725
UBERON:0004765	skeletal element	164
UBERON:0001474	bone element	81
UBERON:0000029	lymph node	205
UBERON:0001264	pancreas	183
UBERON:0001043	esophagus	159
UBERON:0002108	small intestine	5
UBERON:0000945	stomach	320
UBERON:0001224	renal pelvis	6
UBERON:0001828	gingiva	15
UBERON:0011601	gingiva of upper jaw	1
UBERON:0011602	gingiva of lower jaw	1
UBERON:0000314	cecum mucosa	39
UBERON:0001295	endometrium	135
UBERON:0001051	hypopharynx	21
UBERON:0000165	mouth	53
UBERON:0001052	rectum	50
UBERON:0001155	colon	1647
UBERON:0002114	duodenum	7
UBERON:0006562	pharynx	2
UBERON:0000995	uterus	47
UBERON:0000002	uterine cervix	114
UBERON:0009853	body of uterus	10
UBERON:0001160	fundus of stomach	2
UBERON:0001162	cardia of stomach	2
UBERON:0001691	external ear	1
UBERON:0003679	mouth floor	31
UBERON:0000916	abdomen	2
UBERON:0000033	head	29
UBERON:0004809	salivary gland epithelium	1
UBERON:0002384	connective tissue	335
UBERON:0003566	head connective tissue	1
UBERON:0003837	thoracic segment connective tissue	6
UBERON:0003567	abdomen connective tissue	7
UBERON:0002372	tonsil	11
UBERON:0001270	bony pelvis	8
UBERON:0002410	autonomic nervous system	25
UBERON:0000310	breast	1801
UBERON:0010743	meningeal cluster	1
UBERON:0001707	nasal cavity	16
UBERON:0003728	mediastinum	10
UBERON:0013471	retromolar space	4
UBERON:0001780	spinal nerve	68
UBERON:0036295	renal pelvis/ureter	1
