EFO:0001456	DNA assay	104
geo:GPL5452	DKFZ Homo sapiens 8k BAC-array	6
geo:GPL5056	MHP Human Chromosome 1 tile path CGH array version 2	1
geo:GPL2015	Affymetrix GeneChip Human Mapping 50K Xba - prerelease	1
geo:GPL4093	Agilent-014698 Human Genome CGH Microarray 105A (G4412A)	4
geo:GPL5477	Agilent-014950 Human Genome CGH Microarray 4x44K (Feature Number version)	1
geo:GPL7313	CSHL Homo Sapiens 85k oligo array 4.0	11
geo:GPL6986	Illumina HumanCNV370-Duov1 DNA Analysis BeadChip (HumanCNV370v1)	10
geo:GPL16131	[CytoScanHD_Array] Affymetrix CytoScan HD Array	2
geo:GPL6801	[GenomeWideSNP_6] Affymetrix Genome-Wide Human SNP 6.0 Array	6
geo:GPL3718	[Mapping250K_Nsp] Affymetrix Mapping 250K Nsp SNP Array	5
geo:GPL3720	[Mapping250K_Sty] Affymetrix Mapping 250K Sty2 SNP Array	13
geo:GPL2004	[Mapping50K_Hind240] Affymetrix Human Mapping 50K Hind240 SNP Array	2
geo:GPL2005	[Mapping50K_Xba240] Affymetrix Human Mapping 50K Xba240 SNP Array	4
geo:GPL13135	HumanOmniExpress BeadChip	4
geo:GPL8855	Illumina HumanCytoSnp-12 Beadchip version 2.0	1
EFO:0010937	comparative genomic hybridization (CGH)	78
