NCIT:C48740	pM0 Stage Finding	1
NCIT:C48746	pN1 Stage Finding	1
NCIT:C48765	pT2a Stage Finding	1
NCIT:C48699	M0 Stage Finding	9299
NCIT:C95956	cM0 (i+) Stage Finding	6
NCIT:C48700	M1 Stage Finding	676
NCIT:C48701	M1a Stage Finding	24
NCIT:C48702	M1b Stage Finding	17
NCIT:C48703	M1c Stage Finding	11
NCIT:C48704	MX Stage Finding	2697
NCIT:C48705	N0 Stage Finding	6307
NCIT:C95921	N0 (i-) Stage Finding	153
NCIT:C95922	N0 (i+) Stage Finding	28
NCIT:C95925	N0 (mol+) Stage Finding	1
NCIT:C48706	N1 Stage Finding	1977
NCIT:C48707	N1a Stage Finding	296
NCIT:C48708	N1b Stage Finding	168
NCIT:C48709	N1c Stage Finding	5
NCIT:C95955	N1mi Stage Finding	37
NCIT:C48714	N3 Stage Finding	751
NCIT:C48715	N3a Stage Finding	96
NCIT:C48716	N3b Stage Finding	10
NCIT:C48717	N3c Stage Finding	1
NCIT:C48718	NX Stage Finding	1696
NCIT:C48786	N2 Stage Finding	1562
NCIT:C48711	N2a Stage Finding	96
NCIT:C48712	N2b Stage Finding	149
NCIT:C48713	N2c Stage Finding	58
NCIT:C48719	T0 Stage Finding	41
NCIT:C48720	T1 Stage Finding	3622
NCIT:C48721	T1a Stage Finding	374
NCIT:C48722	T1b Stage Finding	560
NCIT:C48723	T1c Stage Finding	222
NCIT:C48724	T2 Stage Finding	5338
NCIT:C48725	T2a Stage Finding	828
NCIT:C48726	T2b Stage Finding	227
NCIT:C48727	T2c Stage Finding	168
NCIT:C48728	T3 Stage Finding	4301
NCIT:C48729	T3a Stage Finding	506
NCIT:C48730	T3b Stage Finding	374
NCIT:C48731	T3c Stage Finding	4
NCIT:C48732	T4 Stage Finding	2782
NCIT:C48733	T4a Stage Finding	429
NCIT:C48734	T4b Stage Finding	205
NCIT:C48735	T4c Stage Finding	2
NCIT:C48736	T4d Stage Finding	5
NCIT:C48737	TX Stage Finding	134
NCIT:C48738	Tis Stage Finding	10
