UBERON:0001062	anatomical entity	5598
UBERON:0000474	female reproductive system	81
UBERON:0001007	digestive system	41
UBERON:0001008	renal system	159
UBERON:0001016	nervous system	726
UBERON:0002390	hematopoietic system	2969
UBERON:0001833	lip	3
UBERON:0001728	nasopharynx	367
UBERON:0001737	larynx	312
UBERON:0036263	supraglottic part of larynx	1
UBERON:0000977	pleura	582
UBERON:0002367	prostate gland	4648
UBERON:0002370	thymus	195
UBERON:0008948	upper lobe of lung	579
UBERON:0008949	lower lobe of lung	355
UBERON:0008955	middle lobe of lung	37
UBERON:0002182	main bronchus	3
UBERON:0003126	trachea	4
UBERON:0001069	head of pancreas	140
UBERON:0001151	tail of pancreas	12
UBERON:0001729	oropharynx	843
UBERON:0002046	thyroid gland	1351
UBERON:0002048	lung	9513
UBERON:0002107	liver	3272
UBERON:0003703	extrahepatic bile duct	162
UBERON:0003704	intrahepatic bile duct	456
UBERON:0004913	hepatopancreatic ampulla	26
UBERON:0005033	mucosa of gallbladder	76
UBERON:0007329	pancreatic duct	25
UBERON:0014385	aryepiglottic fold	4
UBERON:0035240	posterior wall of oropharynx	1
UBERON:0002358	peritoneum	23
UBERON:0000948	heart	3
UBERON:0000989	penis	33
UBERON:0000996	vagina	6
UBERON:0001235	adrenal cortex	475
UBERON:0001236	adrenal medulla	2
UBERON:0001255	urinary bladder	934
UBERON:0001256	wall of urinary bladder	136
UBERON:0001987	placenta	319
UBERON:0002371	bone marrow	15420
UBERON:0003688	omentum	7
UBERON:0003889	fallopian tube	21
UBERON:0002082	cardiac ventricle	70
UBERON:0002106	spleen	636
UBERON:0003606	limb long bone	3
UBERON:0006082	fundus of urinary bladder	15
UBERON:0002369	adrenal gland	316
UBERON:0012303	ureteral orifice	2
UBERON:0000014	zone of skin	3354
UBERON:0001085	skin of trunk	57
UBERON:0001483	skin of shoulder	23
UBERON:0001554	skin of hip	21
UBERON:0004084	genital labium	17
UBERON:1000021	skin of face	1
UBERON:8300000	skin of scalp	8
UBERON:0000955	brain	7128
UBERON:0000966	retina	260
UBERON:0001245	anus	88
UBERON:0001775	ciliary body	49
UBERON:0001817	lacrimal gland	63
UBERON:0001869	cerebral hemisphere	1714
UBERON:0002240	spinal cord	105
UBERON:0002037	cerebellum	3514
UBERON:0002298	brainstem	426
UBERON:0000007	pituitary gland	170
UBERON:0001684	mandible	3
UBERON:0001697	orbit of skull	3
UBERON:0034978	paraganglion (generic)	8
UBERON:0001871	temporal lobe	12
UBERON:0001872	parietal lobe	4
UBERON:0002021	occipital lobe	4
UBERON:0016525	frontal lobe	14
UBERON:0011387	constrictor vulvae muscle	114
UBERON:0015178	somite border	1
UBERON:0036214	rectosigmoid junction	132
UBERON:0018707	bladder organ	875
UBERON:0000970	eye	103
UBERON:0001723	tongue	300
UBERON:0001831	parotid gland	52
UBERON:0001736	submandibular gland	2
UBERON:0001132	parathyroid gland	109
UBERON:0002113	kidney	3910
UBERON:0000473	testis	527
