cbioportal:acyc_mskcc_2013	cbioportal:acyc_mskcc_2013	60
cbioportal:aml_target_2018_pub	cbioportal:aml_target_2018_pub	253
cbioportal:blca_mskcc_solit_2014	cbioportal:blca_mskcc_solit_2014	109
cbioportal:blca_nmibc_2017	cbioportal:blca_nmibc_2017	105
cbioportal:brca_mbcproject_wagle_2017	cbioportal:brca_mbcproject_wagle_2017	237
cbioportal:breast_msk_2018	cbioportal:breast_msk_2018	1896
cbioportal:cellline_ccle_broad	cbioportal:cellline_ccle_broad	995
cbioportal:cellline_nci60	cbioportal:cellline_nci60	60
cbioportal:chol_msk_2018	cbioportal:chol_msk_2018	195
cbioportal:coad_cptac_2019	cbioportal:coad_cptac_2019	105
cbioportal:glioma_msk_2018	cbioportal:glioma_msk_2018	91
cbioportal:glioma_mskcc_2019	cbioportal:glioma_mskcc_2019	833
cbioportal:hcc_msk_venturaa_2018	cbioportal:hcc_msk_venturaa_2018	19
cbioportal:histiocytosis_cobi_msk_2019	cbioportal:histiocytosis_cobi_msk_2019	22
cbioportal:lung_msk_2017	cbioportal:lung_msk_2017	915
cbioportal:lung_msk_pdx	cbioportal:lung_msk_pdx	138
cbioportal:mel_ucla_2016	cbioportal:mel_ucla_2016	37
cbioportal:msk_impact_2017	cbioportal:msk_impact_2017	10939
cbioportal:nbl_target_2018_pub	cbioportal:nbl_target_2018_pub	59
cbioportal:nepc_wcm_2016	cbioportal:nepc_wcm_2016	107
cbioportal:nsclc_pd1_msk_2018	cbioportal:nsclc_pd1_msk_2018	240
cbioportal:odg_msk_2017	cbioportal:odg_msk_2017	22
cbioportal:paad_utsw_2015	cbioportal:paad_utsw_2015	109
cbioportal:prad_broad	cbioportal:prad_broad	109
cbioportal:prad_broad_2013	cbioportal:prad_broad_2013	57
cbioportal:prad_cdk12_mskcc_2020	cbioportal:prad_cdk12_mskcc_2020	5
cbioportal:prad_mich	cbioportal:prad_mich	61
cbioportal:prad_msk_2019	cbioportal:prad_msk_2019	18
cbioportal:prad_mskcc	cbioportal:prad_mskcc	2
cbioportal:prad_mskcc_2014	cbioportal:prad_mskcc_2014	104
cbioportal:prad_p1000	cbioportal:prad_p1000	1013
cbioportal:sarc_mskcc	cbioportal:sarc_mskcc	207
cbioportal:skcm_dfci_2015	cbioportal:skcm_dfci_2015	110
cbioportal:skcm_mskcc_2014	cbioportal:skcm_mskcc_2014	64
cbioportal:thyroid_mskcc_2016	cbioportal:thyroid_mskcc_2016	117
cbioportal:urcc_mskcc_2016	cbioportal:urcc_mskcc_2016	62
cbioportal:usarc_msk_2020	cbioportal:usarc_msk_2020	108
cbioportal:wt_target_2018_pub	cbioportal:wt_target_2018_pub	129
