pgx:cohort-2021progenetix	Version at Progenetix Update 2021	0	1
pgx:cohort-DIPG	DIPG samples	0	2
pgx:cohort-TCGA	TCGA samples	0	3
pgx:cohort-TCGAcancers	TCGA Cancer samples	0	4
pgx:cohort-arraymap	arrayMap collection	0	5
pgx:cohort-carriocordo2021heterogeneity	Carrio-Cordo and Baudis - Genomic Heterogeneity in Cancer Types (2021)	0	6
pgx:cohort-celllines	Cancer cell lines	0	7
pgx:cohort-excluded	Excluded samples	0	8
pgx:cohort-gao2021signatures	Gao and Baudis - Cancer CNV Signatures (2021)	0	9
pgx:cohort-oneKgenomes	1000 genomes reference samples	0	10
