gene_symbol	CHRO	BASESTART	BASESTOP	ENSEMBLGENEID	ENTREZGENEID
	Y	376662	203252682	NA	94
A1BG	19	63549983	63559403	NA	1069
A1CF	10	52229174	52315441	NA	983
A2BP1	16	7322957	7700681	NA	9
A2M	12	9111570	9159825	NA	654
A2ML1	12	8866416	8920648	NA	81
A2MP1	12	9272395	9278070	NA	655
A3GALT2	1	33544953	33559286	NA	1
A4GALT	22	41418070	41446820	NA	112
A4GNT	3	139325249	139333919	NA	205
AA06	17	28880918	28884892	NA	805
AAAS	12	51987506	52001679	NA	981
AACS	12	124115877	124193824	NA	191
AACSP1	5	178124469	178135883	NA	242
AADAC	3	153014550	153028966	NA	1752
AADACL1	3	173831128	173911702	NA	1911
AADACL2	3	152934393	152958246	NA	1751
AADACL3	1	12698704	12711313	NA	681
AADACL4	1	12627152	12649684	NA	681
AADACP1	3	152970933	152985372	NA	1752
AADAT	4	171217947	171248113	NA	1891
AAED1	9	98443353	98457420	NA	1336
AAGAB	15	65280066	65334590	NA	1083
AAK1	2	69538630	69724481	NA	139
AAMDC	11	77209855	77261046	NA	1174
AAMP	2	218837095	218843176	NA	2254
AANAT	17	71961027	71977794	NA	1134
AAR2	20	34287752	34308277	NA	846
AARD	8	118019644	118025420	NA	1485
AARS	16	68843788	68880913	NA	1110
AARS2	6	44374440	44389041	NA	923
AARSD1	17	38356068	38385546	NA	877
AASDH	4	56899207	56948431	NA	1019
AASDHPPT	11	105453501	105474629	NA	1389
AASS	7	121500833	121571580	NA	1512
AATBC	21	44050066	44056876	NA	921
AATF	17	32380287	32488284	NA	832
AATK	17	76705690	76754467	NA	1170
ABALON	20	29772970	29774873	NA	812
ABAT	16	8675944	8785933	NA	81
ABCA1	9	106583104	106730348	NA	174
ABCA10	17	64655742	64752551	NA	1078
ABCA11P	4	409223	457998	NA	588
ABCA12	2	215504510	215711396	NA	278
ABCA13	7	48208388	48657637	NA	14
ABCA17P	16	2330923	2416701	NA	75
ABCA2	9	139021506	139043195	NA	1645
ABCA3	16	2265878	2330748	NA	602
ABCA4	1	94230981	94359293	NA	162
