gene_symbol	CHRO	BASESTART	BASESTOP	ENSEMBLGENEID	ENTREZGENEID
	Y	386661	205016931	NA	94
A1BG	19	58346805	58356225	NA	1030
A1CF	10	50799408	50885675	NA	121
A2BP1	16	7332955	7710678	NA	9
A2M	12	9067707	9115962	NA	654
A2ML1	12	8822553	8876785	NA	652
A2MP1	12	9228532	9234207	NA	655
A3GALT2	1	33306765	33321098	NA	839
A4GALT	22	42692120	42720870	NA	910
A4GNT	3	138123717	138132387	NA	1638
AA06	17	33529786	33533760	NA	840
AAAS	12	53307455	53321628	NA	991
AACS	12	125065378	125143325	NA	1539
AACSP1	5	178764860	178776276	NA	1948
AADAC	3	151814072	151828488	NA	1743
AADACL1	3	172630644	172711218	NA	1902
AADACL2	3	151733915	151757768	NA	1742
AADACL3	1	12716114	12728759	NA	682
AADACL4	1	12644546	12667086	NA	681
AADACP1	3	151770455	151784894	NA	217
AADAT	4	170060221	170090387	NA	1882
AAED1	9	96641250	96655317	NA	1322
AAGAB	15	67200674	67255198	NA	137
AAK1	2	69457994	69643845	NA	139
AAMDC	11	77821161	77872352	NA	147
AAMP	2	218264128	218270209	NA	2250
AANAT	17	76453350	76470117	NA	1168
AAR2	20	36236416	36256941	NA	861
AARD	8	116938224	116944000	NA	1477
AARS	16	70252384	70289509	NA	17
AARS2	6	44298725	44313326	NA	115
AARSD1	17	42950525	42980003	NA	912
AASDH	4	56338284	56387508	NA	126
AASDHPPT	11	106077564	106098692	NA	1394
AASS	7	122073543	122144290	NA	1516
AATBC	21	43805757	43812567	NA	919
AATF	17	36948874	37056871	NA	108
AATK	17	81117295	81166072	NA	150
ABAT	16	8674586	8784575	NA	651
ABCA1	9	104781002	104928246	NA	21
ABCA10	17	69148006	69244815	NA	17
ABCA11P	4	425434	474209	NA	588
ABCA12	2	214931541	215138428	NA	34
ABCA13	7	48171459	48647495	NA	14
ABCA17P	16	2340921	2426699	NA	75
ABCA2	9	137007233	137028922	NA	1630
ABCA3	16	2275876	2340746	NA	602
ABCA4	1	93992837	94121149	NA	162
ABCA5	17	69244434	69327182	NA	1113
ABCA6	17	69078705	69141874	NA	1112
ABCA7	19	1040102	1065571	NA	9
ABCA8	17	68867286	68955392	NA	138
ABCA9	17	68974631	69060995	NA	1111
ABCB1	7	87503632	87713323	NA	156
ABCB10	1	229516581	229558695	NA	2336
ABCB11	2	168922938	169031323	NA	234
ABCB4	7	87402044	87475739	NA	156
ABCB5	7	20615621	20757014	NA	92
ABCB6	2	219209765	219218990	NA	2257
ABCB7	X	75053171	75156340	NA	144
ABCB8	7	151028421	151047782	NA	1737
ABCB9	12	122920950	122975205	NA	190
ABCC1	16	15949576	16143073	NA	88
ABCC10	6	43427553	43450425	NA	916
ABCC11	16	48166910	48235177	NA	952
ABCC12	16	48082972	48146770	NA	118
ABCC13	21	14273798	14301371	NA	86
ABCC2	10	99782597	99852192	NA	1346
ABCC3	17	50634856	50691702	NA	971
ABCC4	13	95019828	95301446	NA	163
ABCC5	3	183919935	184017939	NA	1988
ABCC6	16	16149564	16223471	NA	708
ABCC6P1	16	18571247	18598285	NA	726
ABCC6P2	16	14822431	14824702	NA	698
ABCC8	11	17392884	17476845	NA	89
ABCC9	12	21797389	21936694	NA	93
ABCD1	X	153724867	153744762	NA	1757
ABCD2	12	39551219	39620041	NA	110
ABCD3	1	94418376	94518663	NA	163
ABCD4	14	74285276	74303064	NA	1151
ABCE1	4	145098003	145129524	NA	1692
ABCF1	6	30571392	30591532	NA	818
ABCF2	7	151207836	151227374	NA	1738
ABCF3	3	184186074	184194007	NA	1990
ABCG1	21	42199688	42297244	NA	907
ABCG2	4	88090263	88231322	NA	1257
ABCG4	11	119149039	119162665	NA	1494
ABCG5	2	43812471	43838819	NA	919
ABCG8	2	43838963	43878466	NA	919
ABHD1	2	27123788	27130812	NA	791
ABHD10	3	111978875	111993368	NA	1439
ABHD11	7	73736094	73738867	NA	1147
ABHD12	20	25294742	25390982	NA	97
ABHD12B	14	50872159	50904970	NA	973
ABHD13	13	108218414	108234255	NA	1410
ABHD14A	3	51975025	51981200	NA	981
ABHD14A-ACY1	3	51975025	51989202	NA	981
ABHD14B	3	51968509	51974630	NA	981
ABHD15	17	29560670	29567024	NA	810
ABHD16A	6	31686948	31703360	NA	826
ABHD16B	20	63861212	63862988	NA	1072
ABHD17A	19	1876975	1885519	NA	599
ABHD17B	9	71862451	71911232	NA	1133
